"brand","month","sku","product","quantity","channel"
"G2G","2026-01","G2G-34","GLAD2GLOW藍莓潔面乳70ml","244","POYA"
"G2G","2026-01","G2G-35","GLAD2GLOW 377淨透煥采面霜30g","481","POYA"
"G2G","2026-01","G2G-38","GLAD2GLOW舒緩保濕凝露30g","189","POYA"
"G2G","2026-01","G2G-39","GLAD2GLOW 淨膚調理棉片30片","95","Watsons"
"G2G","2026-01","G2G-40","GLAD2GLOW舒緩保濕凝露55g","472","POYA"
"G2G","2026-01","G2G-42","GLAD2GLOW櫻花卸妝水300ml","677","POYA"
"G2G","2026-01","G2G-43","GLAD2GLOW牛奶潔面乳80g","1542","POYA"
"G2G","2026-01","G2G-45","GLAD2GLOW紅石榴淨化透亮泥膜棒25g","546","POYA"
"G2G","2026-01","G2G-51","GLAD2GLOW視黃醇精華17ml","757","POYA"
"G2G","2026-01","G2G-72","GLAD2GLOW積雪草淨化調理潔面凝露70ml","218","POYA"
"G2G","2026-01","G2G-800","GLAD2GLOW絲絨粉餅8.5g-00","468","POYA"
"G2G","2026-01","G2G-801","GLAD2GLOW絲絨粉餅8.5g-01","551","POYA"
"G2G","2026-01","G2G-802","GLAD2GLOW絲絨粉餅8.5g-02","602","POYA"
"G2G","2026-01","G2G-803","GLAD2GLOW絲絨粉餅8.5g-03","309","POYA"
"G2G","2026-01","G2G-82","GLAD2GLOW淨化調理面霜30g","344","POYA"
"G2G","2026-01","G2G-83","GLAD2GLOW視黃醇面霜30g","717","POYA"
"G2G","2026-02","G2G-05","GLAD2GLOW 紅石榴透亮精華17ml","4","Cosmed"
"G2G","2026-02","G2G-05","GLAD2GLOW紅石榴透亮精華17ml","3374","POYA"
"G2G","2026-02","G2G-05","GLAD2GLOW 紅石榴透亮精華17ml","149","Watsons"
"G2G","2026-02","G2G-07","GLAD2GLOW 藍莓保濕面霜30g","4","Cosmed"
"G2G","2026-02","G2G-07","GLAD2GLOW藍莓保濕面霜30g","977","POYA"
